frame,timestamp,x,y,gps_x,gps_y,track_id,instantaneous_speed,cumulative_speed
1,,1108.656982421875,169.52642822265625,-81.20861157410482,28.592861547389404,1,0.0,0.0
1,,976.12548828125,36.233184814453125,-81.20887126088246,28.59199735230585,2,0.0,0.0
1,,1038.732666015625,36.66851806640625,-81.20888373761609,28.59207132077589,3,0.0,0.0
2,1900-01-01 00:00:00.025000,1108.622314453125,169.56369018554688,-81.20861152309034,28.592861647408995,1,0.0,0.0
2,1900-01-01 00:00:00.025000,976.1773071289062,36.26894378662109,-81.20887112590586,28.591997833009422,2,0.0,0.0
2,1900-01-01 00:00:00.025000,1038.7208251953125,36.62779235839844,-81.20888389908376,28.59207086819625,3,0.0,0.0
3,1900-01-01 00:00:00.033333,1109.752685546875,170.66151428222656,-81.20861046265325,28.592865214256257,1,49.04516249347524,49.04516249347524
3,1900-01-01 00:00:00.033333,977.775634765625,39.82728958129883,-81.20885720750582,28.59204048345305,2,590.3127113759327,590.3127113759327
3,1900-01-01 00:00:00.033333,1039.20166015625,37.69692993164063,-81.20887972660229,28.592082845285574,3,166.6555634395046,166.6555634395046
4,1900-01-01 00:00:00.058300,1110.06103515625,170.98953247070312,-81.208610141526,28.59286626574028,1,4.834155404031056,15.897528439356535
4,1900-01-01 00:00:00.058300,978.246826171875,41.041141510009766,-81.20885259721956,28.59205447649971,2,64.68842808611544,196.22077501266344
4,1900-01-01 00:00:00.058300,1039.339599609375,37.99193572998047,-81.20887858703715,28.592086125193276,3,15.228766778347495,53.12184475364546
5,1900-01-01 00:00:00.066667,1110.60986328125,172.12542724609375,-81.20860893041565,28.59286973693117,1,48.11003479210678,22.366005667221785
5,1900-01-01 00:00:00.066667,978.8450927734376,41.746826171875,-81.2088500301057,28.59206285147513,2,114.92277730729997,179.89561729070658
5,1900-01-01 00:00:00.066667,1039.921875,38.58323287963867,-81.20887638402517,28.592092975071093,3,94.3179679395258,61.394289678796326
6,1900-01-01 00:00:00.075033,1110.7728271484375,172.46551513671875,-81.2086085694249,28.592870770396598,1,14.326758630014602,21.021766051102915
6,1900-01-01 00:00:00.075033,979.0760498046876,41.8698616027832,-81.20884961568385,28.592064437937925,2,21.568123684972118,153.42173382368333
6,1900-01-01 00:00:00.075033,1040.0997314453125,38.80079650878906,-81.20887557001784,28.59209544374858,3,34.0607605094198,56.823860061723515
7,1900-01-01 00:00:00.099967,1111.0289306640625,172.89926147460938,-81.2086081200349,28.5928720987852,1,6.16213298345012,16.079456889620467
7,1900-01-01 00:00:00.099967,979.3570556640624,42.27247619628906,-81.20884815052229,28.59206910588184,2,21.5300030526427,109.5545867450337
7,1900-01-01 00:00:00.099967,1040.61865234375,38.89376831054688,-81.20887532070594,28.59209695044166,3,6.768140911228106,40.175344030690496
8,1900-01-01 00:00:00.133300,1111.0869140625,173.0219268798828,-81.2086079902771,28.59287246955573,1,1.29024641932332,11.527575517446737
8,1900-01-01 00:00:00.133300,979.4080810546876,42.35859680175781,-81.20884783599261,28.592070091371973,2,3.404184564814776,76.88319841748765
8,1900-01-01 00:00:00.133300,1040.767822265625,38.898193359375,-81.20887533632327,28.59209714962026,3,0.6638338938978608,28.01433602155191
9,1900-01-01 00:00:00.174967,1111.621337890625,174.00564575195312,-81.20860696773272,28.59287545126723,1,8.286322110576302,10.62702202431778
9,1900-01-01 00:00:00.174967,979.5725708007812,42.69844818115234,-81.20884658951579,28.592073930144835,2,10.621708149266775,58.473031414040506
9,1900-01-01 00:00:00.174967,1041.87158203125,38.9231071472168,-81.20887548236122,28.59209854011312,3,3.7143953256908437,21.262813160026088
10,1900-01-01 00:00:00.208300,1112.81298828125,176.50814819335938,-81.20860436450464,28.5928828966852,1,25.907247861486976,13.405722339813476
10,1900-01-01 00:00:00.208300,979.9053955078124,43.41118621826172,-81.20884399109268,28.592081910792263,2,27.60880984995704,52.86039040260791
10,1900-01-01 00:00:00.208300,1042.546875,40.39786529541016,-81.20886992211585,28.59211448620125,3,55.4732933392004,27.483969383770862
11,1900-01-01 00:00:00.241633,1113.388916015625,178.04298400878906,-81.20860275917859,28.5928873561604,1,15.557728317941121,13.736848323707568
11,1900-01-01 00:00:00.241633,980.6065673828124,43.85112762451172,-81.20884251972068,28.592087312318263,2,18.471329426982187,47.568996342143755
11,1900-01-01 00:00:00.241633,1043.263916015625,41.29931640625,-81.20886664424457,28.592124382299065,3,34.28083635423265,28.529793273604835
12,1900-01-01 00:00:00.274967,1113.55908203125,179.73828125,-81.20860091248424,28.592892099372296,1,16.675363399622118,14.128709895597199
12,1900-01-01 00:00:00.274967,980.5975952148438,45.11312103271485,-81.20883786159256,28.592100555519902,2,46.10407320291071,47.37364356388425
12,1900-01-01 00:00:00.274967,1044.1453857421875,41.51562881469727,-81.20886602136079,28.592127439666687,3,10.328184479272966,26.102543166389648
13,1900-01-01 00:00:00.308300,1114.570556640625,181.38616943359372,-81.20859930580548,28.592896889252305,1,16.609176504056826,14.420560913810348
13,1900-01-01 00:00:00.308300,980.7123413085938,45.934566497802734,-81.20883489911525,28.592109183083576,2,29.97427274741815,45.326438384126874
13,1900-01-01 00:00:00.308300,1044.659912109375,42.325496673583984,-81.2088630905406,28.59213606771452,3,29.949001353298257,26.55511637762941
14,1900-01-01 00:00:00.341633,1115.0406494140625,182.43548583984372,-81.2085982576855,28.592899863850555,1,10.357494147872194,13.992828477491274
14,1900-01-01 00:00:00.341633,981.2655029296876,46.1593017578125,-81.20883422117933,28.59211205224406,2,9.744927452619166,41.58065539915707
14,1900-01-01 00:00:00.341633,1044.989501953125,43.0971908569336,-81.2088602911859,28.59214404771203,3,27.775383700184257,26.683577942478056
15,1900-01-01 00:00:00.374967,1115.872314453125,183.09698486328125,-81.20859770702639,28.59290187216095,1,6.86998577887124,13.314384971344124
15,1900-01-01 00:00:00.374967,982.4520263671876,46.7835807800293,-81.20883226522895,28.59211962085345,2,25.810452235165638,40.078559623645404
15,1900-01-01 00:00:00.374967,1045.4132080078125,43.5756721496582,-81.20885861856426,28.59214916643912,3,17.712431815992012,25.829085418953593
16,1900-01-01 00:00:00.408300,1116.57470703125,184.75637817382807,-81.20859606362693,28.59290649974773,1,16.124396142899876,13.558752574739552
16,1900-01-01 00:00:00.408300,983.077880859375,47.90281295776367,-81.2088284377616,28.592131542540407,2,41.199133636521864,40.17600834154577
16,1900-01-01 00:00:00.408300,1045.660888671875,44.00167846679688,-81.20885710942738,28.592153572284374,3,15.303829267102879,24.913775313788864
17,1900-01-01 00:00:00.441633,1118.0927734375,185.94989013671875,-81.20859509282289,28.59291006349591,1,12.186796808909012,13.448988342087723
17,1900-01-01 00:00:00.441633,982.8245849609376,48.60084533691406,-81.20882592191607,28.59213826259328,2,23.531730508903678,38.84437183412687
17,1900-01-01 00:00:00.441633,1046.304931640625,44.648136138916016,-81.20885489547493,28.59216046552264,3,23.822447727016794,24.82646292506816
18,1900-01-01 00:00:00.474967,1118.3349609375,188.48333740234372,-81.20859247461784,28.592916754408375,1,23.535372192837908,14.196197624726022
18,1900-01-01 00:00:00.474967,983.5787963867188,48.5184326171875,-81.20882639483827,28.59213817751303,2,1.4163307346754996,36.071665564535735
18,1900-01-01 00:00:00.474967,1047.18017578125,45.62495803833008,-81.20885156455849,28.592170676376952,3,35.328240551945264,25.60444498911802
19,1900-01-01 00:00:00.508300,1119.134765625,190.0497589111328,-81.20859100446496,28.59292100396968,1,14.773376065841836,14.236005381766603
19,1900-01-01 00:00:00.508300,983.6619262695312,49.10702133178711,-81.20882436062915,28.59214408752493,2,20.536977984135472,35.00024462284842
19,1900-01-01 00:00:00.508300,1047.965576171875,46.537559509277344,-81.20884848424777,28.59218006685777,3,32.50467581666695,26.080351039551886
20,1900-01-01 00:00:00.541633,1120.0814208984375,191.27517700195312,-81.20858992774973,28.592924379380257,1,11.659231916647936,14.069752761603352
