frame,timestamp,x,y,gps_x,gps_y,track_id,instantaneous_speed,cumulative_speed,acceleration,distance_to_next,same_lane,lane
1,,426.2381286621094,585.2607421875,-81.20891014318158,28.593595000089035,1.0,0.0,0.0,0.0,inf,True,-1
1,,139.9290008544922,519.85546875,-81.20883995365874,28.593595284896363,2.0,0.0,0.0,0.0,inf,True,-1
1,,857.3970336914062,223.54449462890625,-81.20866682225302,28.593591673268783,3.0,0.0,0.0,0.0,inf,True,-1
1,,1031.8072509765625,95.88780212402344,-81.20881106097282,28.59359378875448,4.0,0.0,0.0,0.0,inf,True,-1
1,,983.8405151367188,279.43878173828125,-81.20840858505926,28.59359283568266,5.0,0.0,0.0,0.0,inf,True,-1
1,,936.5694580078124,87.44158172607422,-81.20884365385761,28.59359348645605,6.0,0.0,0.0,0.0,inf,True,-1
1,,666.1202392578125,85.25624084472656,-81.20901192305189,28.593591626331204,7.0,0.0,0.0,0.0,inf,True,-1
2,1900-01-01 00:00:00.025000,426.073974609375,585.0818481445312,-81.2089100739766,28.593595000585395,1.0,0.0,0.0,0.0,0.0009489109521194373,True,-1
2,1900-01-01 00:00:00.025000,139.58592224121094,519.4221801757812,-81.20883977651481,28.59359528609897,2.0,0.0,0.0,0.0,0.0027214429867251267,True,-1
2,1900-01-01 00:00:00.025000,857.4757080078125,223.3259429931641,-81.20866774086363,28.59359168156843,3.0,0.0,0.0,0.0,0.016823099087385194,True,-1
2,1900-01-01 00:00:00.025000,1031.8114013671875,95.89898681640624,-81.20881105273179,28.593593788759357,4.0,0.0,0.0,0.0,0.0012534369291384811,True,-1
2,1900-01-01 00:00:00.025000,983.47119140625,279.63623046875,-81.20840650236799,28.59359282659858,5.0,0.0,0.0,0.0,0.04603536081850357,True,-1
2,1900-01-01 00:00:00.025000,936.52978515625,87.36578369140625,-81.20884371228205,28.59359348645405,6.0,0.0,0.0,0.0,0.0007005583641755972,True,-1
